Name,GEOID,CLRRt,AdAsthRt,PhysRate,LngCncRt,CancerRt,HypRt
Rogers Park,1,35.9,9.6,24.9,71.7341883,552.9126067,26.5
Norwood Park,10,23.3,7.1,15.8,69.97698771,545.4773217,30.7
Jefferson Park,11,16.7,,26,65.29737531,473.2502056,29.3
Forest Glen,12,17.9,25.9,24.6,50.82641554,477.4310806,24
North Park,13,21,18.5,23,48.89901956,444.3225239,40.3
Albany Park,14,27.2,4,22.6,44.62242527,397.6728729,26.6
Portage Park,15,24,9.7,26.9,67.09911316,480.3288371,27.7
Irving Park,16,26,10.7,29.9,56.37857777,454.3016727,29.4
Dunning,17,31.7,6.3,23.2,59.68354744,462.2039277,21.2
Montclare,18,30.7,9.6,37,58.05140304,475.9885939,27.4
Belmont Cragin,19,19,10.8,32.8,50.53601595,404.507368,27.2
West Ridge,2,22.4,9.1,26.3,60.11166217,468.0472877,29.7
Hermosa,20,8.9,15.5,36,33.56358503,359.7377703,36.2
Avondale,21,17,12.8,25.6,38.49719731,382.4784586,37
Logan Square,22,26.1,10.5,18.7,39.04862757,402.5999424,26.5
Humboldt Park,23,19.4,17.1,39.8,49.74493888,467.9023783,23.2
West Town,24,21.5,9,13.1,52.1764477,502.2827855,23.1
Austin,25,37.7,12.6,34.9,93.01261318,581.7791986,39.2
West Garfield Park,26,32.6,20.2,39.7,135.5512809,676.9091643,34.5
East Garfield Park,27,29.7,14.6,39.1,120.8319631,697.1603227,25.6
Near West Side,28,29.5,14,16.6,80.99073732,553.8424527,20.6
North Lawndale,29,25.7,10,25.2,91.37163778,616.1548341,29.7
Uptown,3,36.7,7.2,20,71.52594163,585.2687034,28
South Lawndale,30,16.6,6.1,32,27.97603439,347.8479983,20.5
Lower West Side,31,11,,24.2,35.44521369,387.8107227,17.7
Loop,32,13.4,9,12,48.98124553,496.9758483,16.5
Near South Side,33,24.7,6.9,13.3,93.58342319,646.3140817,20.5
Armour Square,34,17.5,,54.5,83.92988877,420.5252736,
Douglas,35,35.2,13,24.7,120.6118681,727.052428,28.2
Oakland,36,49.5,,41.6,232.5236924,1286.976122,20.5
Fuller Park,37,71.9,,32.7,161.7535916,702.8026515,
Grand Boulevard,38,47.4,18.4,31.5,120.7506693,651.5352754,40.5
Kenwood,39,19.6,12.7,19.4,81.25005727,743.9529002,28.9
Lincoln Square,4,22.4,6.3,19.1,63.39907481,515.967578,27.7
Washington Park,40,48.1,,26.9,89.8234038,648.4579804,32.7
Hyde Park,41,23.3,8.7,14.7,86.61430355,656.6137624,18
Woodlawn,42,36.5,12.3,27.1,106.6853478,602.9923383,36.3
South Shore,43,35,12.3,23.6,110.2590225,760.1208719,39.3
Chatham,44,39,17.4,30.4,83.658923,579.2743534,36.5
Avalon Park,45,34.9,7.7,33.7,67.41985714,565.4763157,43.5
South Chicago,46,34.8,15.3,40,99.27001203,564.700606,33.3
Burnside,47,44.9,,,63.4335401,467.1886966,61.6
Calumet Heights,48,22.7,20.4,32.7,73.07492636,596.7314686,30.2
Roseland,49,35.8,11.6,31.6,87.75976408,584.5653914,33.5
North Center,5,25.8,5.6,15.7,51.16240717,449.2207631,20.1
Pullman,50,45.8,,19.8,97.07889931,571.5057929,28.1
South Deering,51,31.4,15.6,34.9,89.58798803,531.8294564,46.1
East Side,52,22.9,,29.6,61.30109861,446.3589532,12.7
West Pullman,53,32,9.8,42.9,106.5015993,602.1758519,28
Riverdale,54,67.1,,34.4,126.5092926,713.8624243,
Hegewisch,55,42.3,,33.1,96.87987627,532.4363569,33.5
Garfield Ridge,56,28.5,,27.3,73.77773336,526.3596442,32.3
Archer Heights,57,28.4,,44.5,23.22082211,363.8317508,33.7
Brighton Park,58,26.2,11.5,35.8,44.32203229,366.897263,15.8
McKinley Park,59,21.1,,24,46.11498933,439.7247368,32.7
Lake View,6,26.6,6.4,14.1,67.97295166,582.9029278,30.7
Bridgeport,60,28.5,,23.4,67.06241818,419.9831567,32.7
New City,61,36.4,10.5,32,67.22063136,474.5761204,23.1
West Elsdon,62,19.9,,25.4,33.05275018,355.0538565,23.3
Gage Park,63,15.4,,33.8,35.26626794,366.5513563,17.6
Clearing,64,39.7,5.2,28.3,93.85623434,524.0729982,28.7
West Lawn,65,20.8,9.1,34.1,51.03308411,431.7659698,17.7
Chicago Lawn,66,40.5,13.6,36.7,55.97377438,474.4519426,27.7
West Englewood,67,35.2,13.4,35.5,90.50873303,552.7341756,41.4
Englewood,68,39,15.8,28.1,113.840803,627.1689508,37
Greater Grand Crossing,69,29.7,17.5,30.5,109.1230666,629.1785771,41.3
Lincoln Park,7,27,8.2,11.6,74.09476278,606.7016718,21
Ashburn,70,36.5,4.9,36.7,78.34265681,549.7035559,27.9
Auburn Gresham,71,28.5,11.3,24.4,100.6451043,605.0896244,38.3
Beverly,72,26.6,6.6,16.5,55.98940142,527.7999439,19.1
Washington Heights,73,29.4,7.8,33.9,88.74418097,600.7859515,38.3
Mount Greenwood,74,46.2,,23.6,96.74729686,584.088749,14.7
Morgan Park,75,26.3,5.5,20.9,86.44667085,549.7572772,37.5
O'Hare,76,21.2,,22,47.9022931,357.2235313,
Edgewater,77,24.5,6.8,16.8,58.56366957,537.1287363,30.5
Near North Side,8,15.2,2.5,18.8,64.56802411,599.5926709,29.4
Edison Park,9,34.5,,27.3,60.74507498,556.7029105,26.1